textfilename,processed,processing_date,output_json
36422,True,2024-10-26 01:20:06.737946,36422.json
40495,True,2024-10-26 01:49:24.200651,40495.json
37112,True,2024-10-26 16:14:22.009256,37112.json
45543,True,2024-10-26 21:22:18.241315,45543.json
4008,True,2024-10-26 22:31:41.806407,4008.json
38679,True,2024-10-27 01:32:26.629699,38679.json
38147,True,2024-10-27 02:09:35.053246,38147.json
39917,True,2024-10-28 22:35:41.995170,39917.json
49466,True,2024-10-28 23:06:57.879229,49466.json
40802,True,2024-10-28 23:11:12.613824,40802.json
58483,True,2024-10-28 23:17:12.430483,58483.json
31889,True,2024-10-28 23:26:03.586787,31889.json
31889,True,2024-10-28 23:31:03.198380,31889.json
55681,True,2024-10-28 23:43:18.446215,55681.json
4019,True,2024-10-29 03:00:17.865056,4019.json
39203,True,2024-10-29 03:12:21.462776,39203.json
39203,True,2024-10-29 03:21:14.410614,39203.json
39203,True,2024-10-29 03:34:34.784588,39203.json
39203,True,2024-10-29 12:21:20.430124,39203.json
39203,True,2024-10-29 12:26:15.290209,39203.json
30220,True,2024-10-29 12:28:23.998463,30220.json
54216,True,2024-10-29 12:30:13.907430,54216.json
27009,True,2024-10-29 15:52:10.913212,27009.json
9404,True,2024-10-29 20:40:28.566583,9404.json
48388,True,2024-10-29 20:46:33.010176,48388.json
44225,True,2024-10-29 23:29:24.243964,44225.json
4744,True,2024-10-29 23:55:17.651887,4744.json
